"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 20:07:36 GMT 2023","Sat Apr 15 20:07:37 GMT 2023","860","","Positive tests","","","","Should say triangle is Isosceles when two sides are equal",""
"passed","Sat Apr 15 20:07:35 GMT 2023","Sat Apr 15 20:07:36 GMT 2023","930","","Positive tests","","","","Should say triangle is Equilateral when all three sides are equal",""
"passed","Sat Apr 15 20:07:27 GMT 2023","Sat Apr 15 20:07:28 GMT 2023","746","","Negative tests","","","","Should print error when second side is missing",""
"passed","Sat Apr 15 20:07:37 GMT 2023","Sat Apr 15 20:07:37 GMT 2023","850","","Positive tests","","","","Should say triangle is Scalene when no sides are equal",""
"passed","Sat Apr 15 20:07:29 GMT 2023","Sat Apr 15 20:07:30 GMT 2023","845","","Negative tests","","","","Should print error when sum of the length of two sides is not greater than the length of the third side",""
"passed","Sat Apr 15 20:07:26 GMT 2023","Sat Apr 15 20:07:27 GMT 2023","1261","","Negative tests","","","","Should print error when first side is missing",""
"passed","Sat Apr 15 20:07:28 GMT 2023","Sat Apr 15 20:07:29 GMT 2023","704","","Negative tests","","","","Should print error when third side is missing",""
