"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 12:44:15 GMT 2023","Fri Apr 14 12:44:16 GMT 2023","1176","","Negative tests","","","","Should print error when first side is missing",""
"passed","Fri Apr 14 12:44:23 GMT 2023","Fri Apr 14 12:44:24 GMT 2023","783","","Positive tests","","","","Should say triangle is Isosceles when two sides are equal",""
"passed","Fri Apr 14 12:44:16 GMT 2023","Fri Apr 14 12:44:17 GMT 2023","694","","Negative tests","","","","Should print error when second side is missing",""
"passed","Fri Apr 14 12:44:17 GMT 2023","Fri Apr 14 12:44:18 GMT 2023","662","","Negative tests","","","","Should print error when third side is missing",""
"passed","Fri Apr 14 12:44:23 GMT 2023","Fri Apr 14 12:44:23 GMT 2023","851","","Positive tests","","","","Should say triangle is Equilateral when all three sides are equal",""
"passed","Fri Apr 14 12:44:24 GMT 2023","Fri Apr 14 12:44:25 GMT 2023","789","","Positive tests","","","","Should say triangle is Scalene when no sides are equal",""
"passed","Fri Apr 14 12:44:18 GMT 2023","Fri Apr 14 12:44:18 GMT 2023","802","","Negative tests","","","","Should print error when sum of the length of two sides is not greater than the length of the third side",""
